id,name,entity,iso_code,gwno,slug,region.id,region.name,Tracker,Country,tracker_slug,base_url,tracker_url,timeline_url,process_url,actors_url,impacts_url,sub-region_geo,region_geo,central_longitude,central_latitude,country_geo,con_name_geo,search_pax
33,Comoros,False,COM,581,comoros,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,43.35422,-11.6626,COM,Comoros,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=33&match_any_issues=True&name=&text=&signed_after=&signed_before=
36,Costa Rica,False,CRI,94,costa-rica,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-84.1963,9.972837,CRI,Costa Rica,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=36&match_any_issues=True&name=&text=&signed_after=&signed_before=
37,Cote d'Ivoire,False,CIV,437,cote-divoire,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,-5.55473,7.629183,CIV,Cote d'Ivoire,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=37&match_any_issues=True&name=&text=&signed_after=&signed_before=
38,Croatia,False,HRV,344,croatia,4,Europe and Eurasia,,,,,,,,,,Southern Europe,Europe,15.43562,45.11868,HRV,Croatia,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=38&match_any_issues=True&name=&text=&signed_after=&signed_before=
39,Cyprus,False,CYP,352,cyprus,4,Europe and Eurasia,,,,,,,,,,Western Asia,Asia,33.22623,35.05017,CYP,Cyprus,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=39&match_any_issues=True&name=&text=&signed_after=&signed_before=
42,Democratic Republic of Congo,False,COD,490,democratic-republic-of-congo,1,Africa (excl MENA),1.0,Democratic Republic of Congo,democratic-republic-of-congo,https://www.peaceagreements.org/tracker/,https://www.peaceagreements.org/tracker/democratic-republic-of-congo,https://www.peaceagreements.org/tracker/timeline/democratic-republic-of-congo,https://www.peaceagreements.org/tracker/process/democratic-republic-of-congo,https://www.peaceagreements.org/tracker/actors/democratic-republic-of-congo,https://www.peaceagreements.org/tracker/impacts/democratic-republic-of-congo,Sub-Saharan Africa,Africa,23.6157,-2.86219,COD,"Congo, Democratic Republic of the",https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=42&match_any_issues=True&name=&text=&signed_after=&signed_before=
43,Djibouti,False,DJI,522,djibouti,1,Africa (excl MENA),,,,,,,,,,Sub-Saharan Africa,Africa,42.58018,11.73376,DJI,Djibouti,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=43&match_any_issues=True&name=&text=&signed_after=&signed_before=
46,Ecuador,False,ECU,130,ecuador,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-78.7752,-1.42884,ECU,Ecuador,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=46&match_any_issues=True&name=&text=&signed_after=&signed_before=
203,Egypt,False,EGY,651,egypt,5,Middle East and North Africa,,,,,,,,,,Northern Africa,Africa,29.852739,26.434455,,,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=203&match_any_issues=True&name=&text=&signed_after=&signed_before=
47,El Salvador,False,SLV,92,el-salvador,2,Americas,,,,,,,,,,Latin America and the Caribbean,Americas,-88.8657,13.73347,SLV,El Salvador,https://www.peaceagreements.org/agreements/search/?search_type=basic-search&countries=47&match_any_issues=True&name=&text=&signed_after=&signed_before=
