actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc
687,ARM_687,Republic of Serb Krajina,Armed Organization,,,,BIH,Bosnia and Herzegovina,346.0,Europe,,,,,,340.0,Serbian Republic of Krajina,https://ucdp.uu.se/actor/340,,,Republic of Serb Krajina  is an Armed Organization based in Bosnia and Herzegovina.
688,COA_688,Group of Eight,State Coalition,,,G8,,,,,,1.0,,,,,,,,,Group of Eight is an State Coalition actor.
689,POL_689,Political Parties,Political Party,,,,DZA,Algeria,615.0,Africa,,,,,,,,,,,Political Parties  is a Political Party based in Algeria.
690,OTH_690,National Organizations,Other,,,,DZA,Algeria,615.0,Africa,,,,1.0,,,,,,,National Organizations is an Other actor.
691,NGO_691,Women's Groups,Civil Society,Non-governmental Organization,Women,,DZA,Algeria,615.0,Africa,,,,1.0,1.0,,,,,,Women's Groups is a civil society representative for women in Algeria.
692,ARM_692,Convention of the New Forces,Armed Organization,,,CFN,TGO,Togo,461.0,Africa,,,,,,,,,,,Convention of the New Forces (CFN) is an Armed Organization based in Togo.
693,POL_693,Party of the pure-Action on Development,Political Party,,,PAD,TGO,Togo,461.0,Africa,,,,,,,,,,,Party of the pure-Action on Development (PAD) is a Political Party based in Togo.
694,POL_694,Union for the Democracy and Solidarity,Political Party,,,UDS,TGO,Togo,461.0,Africa,,,,,,,,,,,Union for the Democracy and Solidarity (UDS) is a Political Party based in Togo.
695,POL_695,Democratic party pure Unite,Political Party,,,PDU,TGO,Togo,461.0,Africa,,,,,,,,,,,Democratic party pure Unite (PDU) is a Political Party based in Togo.
696,POL_696,Party for Democracy and Renewal,Political Party,,,PDR,TGO,Togo,461.0,Africa,,,,,,,,,,,Party for Democracy and Renewal (PDR) is a Political Party based in Togo.
697,POL_697,Togolese Union for Democracy,Political Party,,,UTD,TGO,Togo,461.0,Africa,,,,,,,,,,,Togolese Union for Democracy (UTD) is a Political Party based in Togo.
698,POL_698,Convention African Peoples Democratic,Political Party,,,FDC,TGO,Togo,461.0,Africa,,,,,,,,,,,Convention African Peoples Democratic (FDC) is a Political Party based in Togo.
699,ARM_699,Irish Republican Army,Armed Organization,,,IRA,IRL,Ireland,205.0,Europe,,,,,,282.0,PIRA,https://ucdp.uu.se/actor/282,P-IRA: Provisional IRA,,Irish Republican Army (IRA) is an Armed Organization based in Ireland.
700,UMB_700,Combined Loyalist Military Command,Umbrella,,,CLMC,GBR,United Kingdom,200.0,Europe,,,,,,,,,,,Combined Loyalist Military Command is an Umbrella actor.
701,ARM_701,Free Patriotic Movement,Armed Organization,,,FPM,LBN,Lebanon,660.0,Asia,,,,,,,,,FPM: Free Patriotic Movement,,Free Patriotic Movement (FPM) is an Armed Organization based in Lebanon.
702,POL_702,Panafrican Patriotic Convention,Political Party,,,CPP,TGO,Togo,461.0,Africa,,,,,,,,,,,Panafrican Patriotic Convention (CPP) is a Political Party based in Togo.
703,NGO_703,African Female Ministers and Parliamentarians Network,Civil Society,Non-governmental Organization,Other,,TGO,Togo,461.0,Africa,,1.0,,1.0,,,,,,,African Female Ministers and Parliamentarians Network is a non-governmental organisation/civil society representative based in Togo.
704,NGO_704,"Group for Reflexion and Action on Women, Democracy and Development",Civil Society,Non-governmental Organization,Women,,TGO,Togo,461.0,Africa,,,,1.0,1.0,,,,,,"Group for Reflexion and Action on Women, Democracy and Development is a civil society representative for women in Togo."
705,POL_705,Democratic Convention of African People,Political Party,,,CDPA,TGO,Togo,461.0,Africa,,,,,,,,,,,Democratic Convention of African People (CDPA) is a Political Party based in Togo.
706,POL_706,Political Parties,Political Party,,,,TCD,Chad,483.0,Africa,,,,,,,,,,,Political Parties  is a Political Party based in Chad.
707,ENT_707,West Bengal,Entity,,,,IND,India,750.0,Asia,,,,,,,,,,,West Bengal is an entity (India).
708,OTH_708,Darjeeling Gorkha Hill Council,Other,,,,IND,India,750.0,Asia,,,,1.0,,,,,,,Darjeeling Gorkha Hill Council is an Other actor.
709,UMB_709,National Liberation Movements,Umbrella,,,,ETH,Ethiopia,530.0,Africa,,,,,,,,,,,National Liberation Movements is an Umbrella actor.
710,OTH_710,Union Peace Working Committee,Other,,,,MMR,Myanmar (Burma),775.0,Asia,,,,1.0,,,,,,,Union Peace Working Committee is an Other actor.
711,NGO_711,Religious Representatives,Civil Society,Religious,,,,,,,,1.0,,,,,,,,,Religious Representatives is a religious representative.
712,NGO_712,Episcopal Conference of Angola and Sao Tome,Civil Society,Religious,,,,,,,,,,,,,,,,,Episcopal Conference of Angola and Sao Tome is a religious representative.
