AgtId,name,iso_code,gwno,id,entity,region.name,region_geo,central_longitude,central_latitude
1317,Angola,AGO,540,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937
166,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1100,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1101,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
38,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
163,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1228,Slovenia,SVN,349,122.0,False,Europe and Eurasia,Europe,14.82176,46.11955
422,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1229,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1102,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1300,Ethiopia,ETH,530,49.0,False,Africa (excl MENA),Africa,39.64475,8.619089
383,Guatemala,GTM,90,56.0,False,Americas,Americas,-90.364,15.69724
39,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
449,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1647,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1448,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1103,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
462,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
40,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1449,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1450,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
611,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
467,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
601,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
1648,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1451,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
493,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1452,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
243,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
252,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
364,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
378,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
33,Israel,ISR,666,67.0,False,Middle East and North Africa,Asia,34.97922,31.97771
564,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
1879,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1649,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1104,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
494,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1650,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1651,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
196,Cambodia,KHM,811,23.0,False,Asia and Pacific,Asia,104.9112,12.70904
1453,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
318,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1454,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1173,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1455,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1456,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1457,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1232,North Korea,PRK,731,103.0,False,Asia and Pacific,Asia,127.1697,40.14183
1888,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
186,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1880,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
465,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
1019,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1020,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
474,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
1231,North Korea,PRK,731,103.0,False,Asia and Pacific,Asia,127.1697,40.14183
1105,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1678,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
1679,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
28,Haiti,HTI,41,59.0,False,Americas,Americas,-72.3386,18.40248
29,Haiti,HTI,41,59.0,False,Americas,Americas,-72.3386,18.40248
1106,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1677,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
1713,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
495,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1107,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
547,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1108,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
164,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
224,Namibia,NAM,565,96.0,False,Africa (excl MENA),Africa,17.2215,-22.139
41,Liberia,LBR,450,76.0,False,Africa (excl MENA),Africa,-9.31039,6.447343
637,Mali,MLI,432,82.0,False,Africa (excl MENA),Africa,-3.52047,17.36297
1469,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1470,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1587,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
482,Afghanistan,AFG,700,5.0,False,Europe and Eurasia,Asia,66.02471,33.83114
1588,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1472,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1683,Armenia,ARM,371,12.0,False,Europe and Eurasia,Asia,44.94022,40.29308
1473,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1474,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1475,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1882,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1927,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1590,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1591,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1021,South Sudan,SSD,626,127.0,False,Africa (excl MENA),Africa,30.34377,7.263461
1022,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1589,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1570,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1699,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1109,Colombia,COL,100,32.0,False,Americas,Americas,-73.0758,3.901116
1700,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1607,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1476,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
469,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
354,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1477,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1024,Moldova,MDA,359,87.0,False,Europe and Eurasia,Europe,28.46371,47.20103
1478,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1851,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
420,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1608,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
503,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
1164,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1165,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1166,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1167,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1169,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1170,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1171,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1025,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
569,Philippines,PHL,840,113.0,False,Asia and Pacific,Asia,120.8616,14.16486
10,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
1295,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1567,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1609,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
445,South Africa,ZAF,560,125.0,False,Africa (excl MENA),Africa,25.08505,-28.9972
1458,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1610,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1086,Nicaragua,NIC,93,100.0,False,Americas,Americas,-85.0062,12.93446
392,Mozambique,MOZ,541,91.0,False,Africa (excl MENA),Africa,35.0,-18.25
1867,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1479,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1459,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1611,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1612,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1613,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1846,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
504,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
285,Namibia,NAM,565,96.0,False,Africa (excl MENA),Africa,17.2215,-22.139
1928,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1615,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
332,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
1616,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
567,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
1343,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
267,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
280,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
1617,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1618,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
552,El Salvador,SLV,92,47.0,False,Americas,Americas,-88.8657,13.73347
1848,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
30,India,IND,750,62.0,False,Asia and Pacific,Asia,79.44333,23.37938
1182,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
409,Afghanistan,AFG,700,5.0,False,Europe and Eurasia,Asia,66.02471,33.83114
1460,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1876,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
216,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
1619,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1869,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1461,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
1026,Georgia,GEO,372,55.0,False,Europe and Eurasia,Asia,45.0,42.5
545,Philippines,PHL,840,113.0,False,Asia and Pacific,Asia,120.8616,14.16486
1027,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1620,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1877,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1482,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1621,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
606,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1483,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1622,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1484,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1623,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1624,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1847,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1172,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1625,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1318,Angola,AGO,540,9.0,False,Africa (excl MENA),Africa,17.54534,-12.2937
1710,Somalia,SOM,520,124.0,False,Africa (excl MENA),Africa,46.20311,4.404616
505,Rwanda,RWA,517,116.0,False,Africa (excl MENA),Africa,29.95631,-1.99839
1626,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1960,North Korea,PRK,731,103.0,False,Asia and Pacific,Asia,127.1697,40.14183
1627,Bosnia and Herzegovina,BIH,346,20.0,False,Europe and Eurasia,Europe,17.78525,44.16825
1938,Croatia,HRV,344,38.0,False,Europe and Eurasia,Europe,15.43562,45.11868
